uid,date,titre,type_vote,adopte,dossier_ref,nb_votants,pour,contre,abstention
VTANR5L17V6335,2026-05-05,l'amendement n° 115 de M. Lachaud à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,161,38,66,57
VTANR5L17V6330,2026-05-05,l'amendement n° 55 de M. Plassard à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,145,27,57,61
VTANR5L17V6332,2026-05-05,l'amendement n° 90 de M. Saintoul à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,155,22,115,18
VTANR5L17V6326,2026-05-05,l'amendement n° 527 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,135,100,28,7
VTANR5L17V6327,2026-05-05,l'amendement n° 285 de Mme Colombier à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,150,54,93,3
VTANR5L17V6342,2026-05-05,l'amendement n° 283 de M. Monnier à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,119,47,58,14
VTANR5L17V6345,2026-05-05,l'amendement n° 286 de Mme Colombier à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,101,44,49,8
VTANR5L17V6339,2026-05-05,l'amendement n° 117 de M. Saintoul à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,156,37,68,51
VTANR5L17V6324,2026-05-05,l'amendement n° 582 de M. Tonussi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,118,39,67,12
VTANR5L17V6319,2026-05-05,l'ensemble du projet de loi relatif à la lutte contre les fraudes sociales et fiscales (texte de la commission mixte paritaire).,scrutin public solennel,adopté,DLR5L17N52985,522,335,182,5
VTANR5L17V6321,2026-05-05,l'amendement n° 362 de Mme de Pélichy à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,69,63,1,5
VTANR5L17V6340,2026-05-05,l'amendement n° 118 (rect.) de Mme Martinez à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,152,54,81,17
VTANR5L17V6379,2026-05-06,l'amendement n° 394 de M. Saintoul à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,114,26,87,1
VTANR5L17V6357,2026-05-06,l'amendement n° 682 de M. Gonzalez à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,98,63,31,4
VTANR5L17V6395,2026-05-06,l'amendement n° 131 de M. Giletti à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,109,39,70,0
VTANR5L17V6381,2026-05-06,l'amendement n° 606 de M. Jacobelli à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,119,44,75,0
VTANR5L17V6383,2026-05-06,l'amendement n° 513 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,117,47,69,1
VTANR5L17V6369,2026-05-06,l'amendement n° 614 de M. Jacobelli à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,87,33,54,0
VTANR5L17V6353,2026-05-06,l'amendement n° 155 de M. Saintoul à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,105,23,82,0
VTANR5L17V6388,2026-05-06,l'amendement n° 168 de M. Saintoul à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,135,15,100,20
VTANR5L17V6358,2026-05-06,l'amendement n° 525 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,110,42,68,0
